ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2020-21,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2019-20,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2018-19,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2017-18,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2016-17,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2015-16,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2014-15,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2013-14,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2012-13,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2011-12,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2010-11,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2009-10,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2008-09,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2007-08,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2006-07,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2005-06,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2004-05,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2003-04,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2002-03,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2001-02,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2000-01,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1999-00,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1998-99,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1997-98,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1996-97,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1995-96,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1994-95,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1993-94,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1992-93,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1991-92,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1990-91,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1989-90,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1988-89,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1987-88,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1986-87
MARYLAND,14890628933,14482716468,13968751892,13543613913,13233588789,12774062799,12620036025,12314446409,12108545690,11846681328,12035718634,11883676934,11591965203,11211175523,10210302950,9381613068,8682585988,8198453592,7933055223,7480723189,7044880645,6545135132,6165934019,5843685373,5529308569,5311207437,5083380357,4783023040,4556265852,4362678622,4240861828,3894644335,3505018194,3128165238,2845403913
MASSACHUSETTS,19843547177,18945441038,18471917468,17682658129,17089141660,16374675607,15834795781,15183018496,14627898268,14151659206,13649965365,14067276358,13937096519,13182986762,12383446755,11747010063,11357856954,10799764795,10281819968,9957291794,9272387436,8564038683,7948501864,7381784301,6846609560,6435457503,6062303052,5637337064,5281067313,5035972524,4906827943,4760390263,4516603516,4098061725,3744130810
MICHIGAN,19146700198,18433999932,18128540042,17723897707,17206121520,16977163269,16849134992,16493575468,16354807414,16485177503,16786444461,17227515448,17217584129,17053521094,17013258869,16681981424,16353920664,15983044470,15674697880,14975150165,14243597321,13994293821,12785479906,12003818087,11686123990,11137876844,10440205961,9816830437,9532993530,9156500601,8545804851,8025620871,7492267279,6913261265,6427556378
MINNESOTA,12394806094,12060037882,11824723476,11424354650,11056127588,10687048314,10222017314,9723759193,9354375944,9053021484,8944866501,8927287559,9182280891,8426263566,8060410478,7686638293,7310284440,7084004540,6867403136,6586559085,6531197848,6140442128,5836185967,5452570931,5087353380,4844879048,4622930253,4328093004,4135283747,3936695115,3740820471,3474398197,3282296272,2981208690,2818389741
MISSISSIPPI,4452945258,4480070882,4361149650,4261381190,4229766679,4234976571,4145631888,4071005531,4006797799,3972787030,3887981214,3990876411,3967232403,3898401177,3692358490,3550260708,3243887679,3059568599,2853530843,2642116488,2576456860,2510376010,2293187532,2164591568,2035674959,2000320893,1921479640,1725386298,1600751738,1536295313,1510552314,1472709553,1365845661,1221560276,1112534842
MISSOURI,10588953473,10376140595,10366636350,10101336810,9776477640,9545816323,9390060831,9125948884,8905755838,8719925484,8691886839,8923447598,8827224350,8526640711,7957704658,7592485272,7115207047,6832453620,6793957096,6491884790,6076168736,5655530673,5348365953,5067719669,4775931375,4531191700,4275217266,3981614334,3710425797,3611612688,3487785971,3288737512,3096665638,2747234339,2515845773
MONTANA,1939577894,1808763119,1783699671,1720717083,1688944279,1652847980,1601097077,1576936754,1523696352,1504530520,1518818050,1498251885,1436061681,1392449155,1320112159,1254359811,1193181863,1160837817,1124291117,1073004849,1041760468,994770343,955694677,929197290,902251894,868891614,844257062,822014543,785159382,751710326,719963056,641345149,592453590,590225993,583861466
NEBRASKA,4455663284,4233747795,4160209872,4148386499,4041479149,3911804898,3805870888,3654376474,3563939466,3356733543,3298535886,3247970464,3053574788,2970322574,2825607566,2672629002,2512913645,2413404128,2304222805,2206946161,2067289513,1926500017,1821310323,1743774920,1707455220,1648103996,1594927908,1513970522,1430039235,1381290126,1297643152,1233430983,1105008618,995234930,948149103
NEVADA,4858509275,4744497078,4571887657,4391673009,4320503898,4092457022,3880471777,3738777167,3577346249,3574233168,3676996845,3592993789,3606035204,3515004345,3311470962,2959728298,2722264110,2470581115,2251044274,2168999847,1978479623,1875466608,1738009349,1570575974,1434394770,1296628570,1186131845,1099684610,1035622966,962799689,864378587,712898469,628656682,555272235,513013742
NEW HAMPSHIRE,3190438009,3085985805,3047647894,2976513613,2886648567,2833892533,2764233282,2720224749,2655076620,2643256165,2637910636,2576955962,2490622506,2399329903,2246691697,2139112663,2021144272,1900239902,1781594414,1641377738,1518791560,1418503258,1316945856,1241255056,1173958316,1114540398,1053965805,1007129396,972963481,927624629,890115654,821670656,733239519,677506930,589850003
